df2_inst,address_df2,df2_state,df1_inst,address_df1,df1_state,similarity
fremont university,,CA,fremont university,,CA,100
fresno pacific university,,CA,fresno pacific university,,CA,100
friends university,,KS,friends university,,KS,100
front range community college,,CO,front range community college,,CO,100
frostburg state university,,MD,frostburg state university,,MD,100
full sail university,,FL,full sail university,,FL,100
furman university,,SC,furman university,,SC,100
galen college of nursing-cincinnati,,OH,galen college of nursing-cincinnati,,OH,100
galen college of nursing-louisville,,KY,galen college of nursing-louisville,,KY,100
galen college of nursing-san antonio,,TX,galen college of nursing-san antonio,,TX,100
galen college of nursing-tampa bay,,FL,galen college of nursing-tampa bay,,FL,100
galveston college,,TX,galveston college,,TX,100
gannon university,,PA,gannon university,,PA,100
gardner-webb university,,NC,gardner-webb university,,NC,100
geneva college,,PA,geneva college,,PA,100
george fox university,,OR,george fox university,,OR,100
george mason university,,VA,george mason university,,VA,100
george washington university,,DC,george washington university,,DC,100
georgia military college,,GA,georgia military college,,GA,100
georgian court university,,NJ,georgian court university,,NJ,100
gettysburg college,,PA,gettysburg college,,PA,100
glenville state university,,WV,glenville state university,,WV,100
gnomon,,CA,gnomon,,CA,100
gods bible school and college,,OH,gods bible school and college,,OH,100
golden gate university,,CA,golden gate university,,CA,100
goldey-beacom college,,DE,goldey-beacom college,,DE,100
gonzaga university,,WA,gonzaga university,,WA,100
goodwin university,,CT,goodwin university,,CT,100
gordon college,,MA,gordon college,,MA,100
goshen college,,IN,goshen college,,IN,100
goucher college,,MD,goucher college,,MD,100
governors state university,,IL,governors state university,,IL,100
grace christian university,,MI,grace christian university,,MI,100
